Fecha;Fonval Acciones Dinamico Credicorp ;Fonval Acciones  Valor Credicorp;Fondo Renta Acciones Bancolombia ;Fondo Acciones Colombia BTG ;Acciones Colombia Davivienda Corredores ;Acciones Colombia Ultraserfinco;Acciones Plus Corficol ;Dividend Yield;Tasa libre de riesgo;COLCAP Index;;;;;;
30/11/2015;9649.28;10799.94;42655.12891;;;47239.12109;;0.32%;;1114.36;;;;;;
31/12/2015;10408.51;11089.46;46428.46094;;;50628.28906;;0.31%;0.45%;1153.71;;;;;;
31/01/2016;10759.11;11241.35;48226.39844;;;52680.57031;;0.31%;0.46%;1175.09;;;;;;
29/02/2016;11617.28;12838.29;50659.10156;;;54980.44141;;0.27%;0.49%;1244.17;;;;;;
31/03/2016;12272.4;13395.48;54174.28906;;;57705.05859;;0.25%;0.53%;1336.27;;;;;;
30/04/2016;12428.75;14091.31;54197.19141;;;58010.32813;;0.22%;0.50%;1342.42;;;;;;
31/05/2016;12198;13919.12;52647.60938;;;57262.28125;;0.24%;0.59%;1292.51;;;;;;
30/06/2016;12253.06;14065.37;53081.07813;;;57565.17188;;0.16%;0.58%;1313.18;;;;;;
31/07/2016;12304.8;14161.26;53096.41016;;;57871.80078;;0.17%;0.57%;1308.22;;;;;;
31/08/2016;12849.07;14733.14;55396.76172;;;60419.14063;;0.19%;0.68%;1380.18;;;;;;
30/09/2016;12390.1;14032.41;53620.21875;;;59225.26953;;0.19%;0.61%;1338.83;;;;;;
31/10/2016;12657.94;14191.31;54861.17188;;;60178.12109;;0.19%;0.63%;1365.53;;;;;;
30/11/2016;12105.23;13907.08;51990.98828;;;57524.87109;;0.20%;0.62%;1286.07;;;;;;
31/12/2016;12690.31;14535.14;54629.10938;;;59858.10156;;0.19%;0.59%;1351.68;;;;;;
31/01/2017;12764.65;14100.96;55216.17969;;;60613.51172;;0.20%;0.66%;1357.47;;;;;;
28/02/2017;12679.59;13642.76;54660.85156;;;59366.92188;;0.21%;0.56%;1326.31;;;;;;
31/03/2017;12828.36;13601.32;55941.46875;;;60298.85938;;0.20%;0.60%;1365.61;;;;;;
30/04/2017;12966.75;13826.74;56507.42969;;;60653.53906;;0.21%;0.52%;1371.54;;;;;;
31/05/2017;13531.8;13579.05;59022.44141;;;62331.48047;;0.19%;0.57%;1439.48;;;;;;
30/06/2017;13726.63;13962.3;59604.37109;;;62694.82813;;0.20%;0.50%;1462.9;;;;;;
31/07/2017;13970.44;14346.11;60488.51953;;;63622.66016;;0.20%;0.48%;1481.37;;;;;;
31/08/2017;13855.16;13712.53;60650.03906;;;62910.03125;;0.18%;0.46%;1482.27;;;;;;
30/09/2017;13798.16;13648.09;60761.46875;;;62902.32813;;0.18%;0.41%;1487.52;;;;;;
31/10/2017;13318.17;13584.98;58845.48047;;;61347.87891;;0.20%;0.45%;1424.58;;;;;;
30/11/2017;13489.91;13712.72;59945.14844;19587.29;;62161.67188;;0.21%;0.40%;1445.23;;;;;;
31/12/2017;14134.87;13915.89;62295.48828;20222.1;;63476.71094;;0.20%;0.35%;1513.65;;;;;;
31/01/2018;14499.14;13949.97;64095.55859;20759.55;;64578.82813;;0.19%;0.43%;1558.18;;;;;;
28/02/2018;13604.67;13291.46;61089.44141;19472.63;;61105.12109;;0.20%;0.34%;1478.33;;;;;;
31/03/2018;13279.58;12885.59;60078.57031;19059.32;;59905.85938;;0.20%;0.34%;1455.52;;;;;;
30/04/2018;14334.97;12901.21;64052.46875;20561.48;;63332.19141;;0.22%;0.39%;1565.56;;;;;;
31/05/2018;14164.88;12697.49;63048.35156;20201.83;;62683.23047;;0.22%;0.35%;1546.71;;;;;;
30/06/2018;14509.66;12798.26;64717.41016;20734.23;;63711.51172;;0.22%;0.33%;1577.01;;;;;;
31/07/2018;14043.71;12711.8;62526.42969;20167.67;;61709.44922;;0.23%;0.37%;1526.6;;;;;;
31/08/2018;14136.43;12637.04;62605.51953;20319.26;;61999.28906;;0.20%;0.35%;1542.77;;;;;;
30/09/2018;13898.35;12145.16;59741.87109;19966.8;;59572.32813;;0.23%;0.32%;1506.07;;;;;;
31/10/2018;13052.24;11752.24;55569.05078;18683.02;;55771.32813;;0.25%;0.38%;1392.18;;;;;;
30/11/2018;12960.22;11837.36;55908.30859;18757.63;;55869.44922;;0.25%;0.34%;1379.24;;;;;;
31/12/2018;12363.71;11807.64;54419.58984;18140.97;;54371.55859;;0.27%;0.32%;1325.93;;;;;;
31/01/2019;13621.37;12000.21;59206.75;19888.57;;59228.94141;;0.25%;0.39%;1447.01;;;;;;
28/02/2019;14150.51;11773.89;61344.03906;20480.44;;61799.39063;;0.23%;0.31%;1508.27;;;;;;
31/03/2019;14867.25;12244.99;64134.39844;21245.89;;64490;;0.22%;0.34%;1587.74;;;;;;
30/04/2019;14827.12;12306.04;64095.53125;21376.14;9968.16;64520.28125;2329.36;0.28%;0.36%;1573.64;;;;;;
31/05/2019;14024.53;12331.62;60562.69922;20164.24;9277.8;61088.64844;2199;0.30%;0.36%;1487;;;;;;
30/06/2019;14629.23;12617.99;62671.75;20755.94;9729.66;63657.48047;2281.26;0.29%;0.32%;1548.98;;;;;;
31/07/2019;14845.83;12764.02;63138.96875;20852.52;9914.48;64436.67188;2297.28;0.29%;0.38%;1562.13;;;;;;
31/08/2019;14733.18;12646.58;62510.12891;21002.7;9855.13;64282.96094;2291.72;0.29%;0.35%;1559.52;;;;;;
30/09/2019;14775.29;12622.88;62834.23047;21044.99;9983.3;64894.35156;2310.42;0.29%;0.35%;1577.96;;;;;;
31/10/2019;15349.7;12786.82;64468.51172;21617.82;10375.71;67021.20313;2394.41;0.28%;0.36%;1633.15;;;;;;
30/11/2019;15177.5;;64103.25;21494.49;10313.1;66548.34375;2365.72;0.28%;0.33%;1611.92;;;;;;
31/12/2019;15797.3;;66409.17969;22312.69;10682.47;68697.14063;2445.81;0.31%;0.35%;1662.42;;;;;;
31/01/2020;15464.13;;64748.94141;21825.03;10437.77;67247.28125;2395.98;0.32%;0.36%;1623.83;;;;;;
29/02/2020;14776.37;;61533.17188;20900.46;10039.95;64562.51172;2282.04;0.34%;0.32%;1549.61;;;;;;
31/03/2020;11168.05;;46339.76953;15982.02;7797.43;48480.16016;1652.7;0.50%;0.36%;1123.85;;;;;;
30/04/2020;11409.55;;47769.32813;16708.09;8016.43;50180.39844;1710.08;0.47%;0.30%;1142.04;;;;;;
31/05/2020;10924.59;;45634.60156;16233.71;7840.62;48127.82813;1661.81;0.49%;0.26%;1095.84;;;;;;
30/06/2020;11108.9;;46443.28125;16673.59;8012.26;48989.62891;1671.15;0.48%;0.24%;1111.8;;;;;;
