Dates;Fonval Acciones Dinamico Credicorp;Fondo Renta Acciones Bancolombia;Fondo Acciones Colombia BTG;Acciones colombia davivienda corredores;Acciones plus corficolombiana;Colcap yield;Risk Free;Colcap
30/11/2020;12846.42;53072.93;19014.7;9085.2;1870.74; 0.0043315 ; 0.0014148 ;1258
31/12/2020;14668.01;60960.78;21896.31;10488.99;2130.45; 0.0034868 ; 0.0014074 ;1437.89
31/01/2021;13726.35;57090.34;20448.65;9785.28;2004.7; 0.0037411 ; 0.0014098 ;1348.12
28/02/2021;13940.18;57418.28;20520.51;9911.13;2023.56; 0.0037061 ; 0.0014049 ;1359.48
31/03/2021;13377.82;55045.2;19763.37;9555.06;1958.88; 0.0033962 ; 0.0013910 ;1316.81
30/04/2021;12790.94;52201;18833.77;9114.55;1864.8; 0.0027704 ; 0.0014181 ;1250.65
31/05/2021;12482.43;51011.02;18350.99;8893.71;1819.68; 0.0028377 ; 0.0014189 ;1200.9
30/06/2021;13053.94;52452.33;19195.58;9237.89;1898.8; 0.0025634 ; 0.0014156 ;1248.83
31/07/2021;12986.14;52090.85;19224.76;9189.77;1888.64; 0.0027118 ; 0.0014156 ;1236.73
31/08/2021;13778.03;55698.66;20617.95;9839.59;2018.6; 0.0026192 ; 0.0014213 ;1319.96
30/09/2021;14143.34;57485.65;21213.17;10137.56;2079.68; 0.0024485 ; 0.0014427 ;1361.95
31/10/2021;14531.11;58960.62;21673.12;10381.96;2134.81; 0.0025417 ; 0.0016238 ;1394.04
30/11/2021;14223.75;57663.96;21238.55;10145.64;2095.21; 0.0025024 ; 0.0020378 ;1373.84
31/12/2021;14655.37;59516.04;21805.1;10499.74;2159.5; 0.0025275 ; 0.0023892 ;1410.97
31/01/2022;15785.92;64444.22;23783.9;11274.94;2335.5; 0.0023511 ; 0.0031732 ;1536.92
28/02/2022;15730.92;63369.2;23588;11406.63;2305.43; 0.0023629 ; 0.0031684 ;1527.75
31/03/2022;17202.75;67869.71;25361;12251.54;2440.42; 0.0027686 ; 0.0031748 ;1616.08
30/04/2022;16858.18;66068.27;24404.85;11965.94;2372.96; 0.0039797 ; 0.0039314 ;1562.46
31/05/2022;17156.68;68011.3;25038.25;12266.27;2453.82; 0.0038500 ; 0.0046730 ;1603.23
30/06/2022;14687.03;57171.48;20599.94;10199.84;2045.24; 0.0058758 ; 0.0046675 ;1322.88
31/07/2022;14283.47;55059.69;20338.52;10128.63;2032.37; 0.0058884 ; 0.0057191 ;1295.96
31/08/2022;13432.64;52344.5;19453.82;9559.34;1941.55; 0.0060721 ; 0.0068246 ;1228.33
30/09/2022;12656.23;48778.32;18126.75;8842.09;1802.51; 0.0071992 ; 0.0075164 ;1128.24
31/10/2022;14042.93;51973.91;19908.43;9646.39;1934.08; 0.0064757 ; 0.0081915 ;1231.52
30/11/2022;13920.86;52696.5;20060.68;9705.61;1967.15; 0.0064003 ; 0.0081626 ;1242.63
31/12/2022;14192.66;54738.51;20869.54;10071.21;2034.39; 0.0066719 ; 0.0088436 ;1286.07
31/01/2023;14633.41;54694.8;20805.05;10209.24;2039.85; 0.0066452 ; 0.0093497 ;1290.11
28/02/2023;14026.26;50290.01;19593.78;9437.29;1898.66; 0.0071748 ; 0.0092594 ;1187.56
31/03/2023;13457.02;49602.24;19052.37;9207.58;1839.06; 0.0074281 ; 0.0095053 ;1157.59
30/04/2023;14166.69;51995.34;20087.27;9706.47;1871.64; 0.0067831 ; 0.0095534 ;1198.81
31/05/2023;13245.63;48558.02;18576.96;8995.38;1752.91; 0.0077174 ; 0.0097236 ;1099.03
30/06/2023;13442.7;51303.69;19577.41;9175.5;1830.5; 0.0067409 ; 0.0096914 ;1133.6
31/07/2023;14070.38;53353.17306;20380.88;9570.12;1972.52; 0.0065958 ; 0.0096846 ;1174.7
31/08/2023;12712.78;48718.57212;18888.9;8767.61;1826.93; 0.0072734 ; 0.0096794 ;1076.12
30/09/2023;13947.03;53564.48;20880.1;9293.14;1940.44; 0.0071255 ; 0.0097041 ;1121.64
31/10/2023;13739.74;52111.37;20660.03;9155.27;1928.06; 0.0073525 ; 0.0096614 ;1088.15
30/11/2023;14499.39;55625.73;21752;9695.45;2028.07; 0.0070739 ; 0.0096809 ;1146.87
31/12/2023;15483.06;60124.83;22839.35;10389.46;2154.24; 0.0093020 ; 0.0095248 ;1195.2
31/01/2024;16162.21;64513.13;23856.47;11102.15;2301.17; 0.0087995 ; 0.0095008 ;1276.55
