Date;AGG;DBC;EWJ;EWW;ILF;MTUM;SPY;VO;RENTA FIJA PLUS;COLCAP
1/03/2023;-0.51%;-3.26%;0.57%;-0.95%;-4.37%;-4.14%;-2.33%;-7.40%;2.8%;-6.1%
1/02/2023;0.83%;-0.79%;-0.99%;3.75%;-3.18%;-0.35%;1.23%;1.03%;1.5%;-8.3%
1/01/2023;-1.94%;-4.33%;2.26%;10.12%;5.50%;-5.77%;0.88%;2.43%;1.1%;0.3%
1/12/2022;-0.55%;-2.57%;-1.69%;-7.84%;-12.54%;-3.80%;-5.62%;-5.28%;0.8%;3.4%
1/11/2022;3.01%;0.97%;10.50%;5.88%;0.46%;2.91%;4.91%;5.47%;-0.2%;0.9%
1/10/2022;5.04%;11.48%;8.85%;19.94%;15.34%;18.37%;14.36%;14.72%;1.1%;8.8%
1/09/2022;-1.86%;-4.72%;-6.69%;2.53%;0.12%;-4.33%;-7.54%;-8.24%;0.3%;-8.5%
1/08/2022;-2.41%;-0.63%;-3.79%;-4.73%;3.96%;-1.14%;-3.29%;-2.11%;-0.3%;-5.4%
1/07/2022;8.60%;4.27%;12.37%;6.73%;10.74%;11.32%;15.09%;15.40%;-0.4%;-2.1%
1/06/2022;2.67%;-3.38%;-4.23%;-6.71%;-18.80%;-2.44%;-4.62%;-5.72%;-0.6%;-19.2%
1/05/2022;-0.47%;3.46%;0.67%;4.16%;7.50%;-1.65%;-0.82%;-1.41%;0.1%;2.6%
1/04/2022;1.73%;11.24%;-2.69%;-4.87%;-9.46%;-7.81%;-3.43%;-2.61%;-0.4%;-3.4%
1/03/2022;-5.74%;6.03%;-4.88%;6.05%;9.45%;1.69%;0.63%;-0.44%;-0.5%;5.6%
1/02/2022;-2.81%;4.75%;-3.31%;2.11%;3.95%;-4.23%;-4.51%;-2.49%;0.5%;-0.6%
1/01/2022;-5.92%;3.69%;-8.30%;-8.04%;4.32%;-13.37%;-9.32%;-12.11%;0.1%;8.6%
1/12/2021;0.26%;7.32%;1.81%;11.91%;-0.53%;0.14%;5.03%;4.34%;-0.6%;2.7%
1/11/2021;6.66%;-2.62%;3.47%;0.05%;1.26%;2.52%;5.74%;4.02%;-0.6%;-1.5%
1/10/2021;-1.65%;4.15%;-4.15%;-1.30%;-7.14%;6.75%;5.30%;4.90%;-0.1%;2.3%
1/09/2021;-0.56%;5.59%;3.17%;-5.23%;-10.38%;-3.21%;-4.59%;-4.03%;0.7%;3.1%
1/08/2021;-1.15%;-2.46%;1.10%;3.37%;-1.18%;3.23%;2.13%;2.17%;0.1%;6.5%
1/07/2021;3.08%;3.40%;1.47%;4.23%;-3.84%;3.02%;4.52%;3.41%;0.2%;-1.0%
1/06/2021;2.27%;5.03%;0.06%;1.34%;4.46%;3.36%;3.48%;3.06%;-0.2%;3.9%
1/05/2021;-0.14%;3.59%;1.51%;5.47%;7.44%;-1.25%;0.46%;0.61%;0.5%;-4.1%
1/04/2021;0.18%;7.14%;-2.02%;3.25%;2.35%;6.42%;4.76%;4.32%;-1.3%;-5.2%
1/03/2021;1.94%;2.54%;3.70%;10.77%;7.25%;2.00%;7.37%;5.34%;-0.1%;-3.2%
1/02/2021;-0.54%;10.81%;2.97%;2.32%;-1.19%;0.57%;3.90%;6.36%;0.6%;0.8%
1/01/2021;Datos_Precios;7.49%;3.36%;-2.53%;-3.55%;5.79%;3.18%;3.73%;0.3%;-6.4%
1/12/2020;-5.46%;0.04%;-0.46%;0.53%;5.67%;-2.08%;-2.05%;-1.78%;0.6%;13.4%
1/11/2020;-5.78%;2.89%;3.22%;10.38%;15.49%;3.28%;3.51%;5.73%;0.2%;10.1%
1/10/2020;-1.39%;-3.85%;-2.08%;1.71%;-0.71%;-4.94%;-3.19%;-0.73%;0.7%;-3.0%
1/09/2020;3.45%;0.10%;5.50%;5.07%;-1.02%;-0.33%;-0.51%;1.70%;0.6%;-3.7%
1/08/2020;-0.37%;5.16%;7.20%;1.79%;-5.09%;9.68%;7.37%;3.76%;1.1%;7.0%
1/07/2020;0.51%;4.36%;-1.71%;1.39%;7.43%;6.15%;5.10%;5.51%;0.8%;2.0%
1/06/2020;1.70%;5.62%;0.33%;1.19%;6.26%;5.18%;2.54%;2.82%;2.5%;1.4%
1/05/2020;-5.33%;1.97%;1.02%;2.78%;1.12%;-0.09%;-1.14%;1.22%;1.8%;-4.1%
1/04/2020;-2.08%;-6.73%;1.11%;-0.38%;1.13%;7.49%;8.38%;9.74%;-1.1%;1.6%
1/03/2020;14.14%;-4.17%;7.89%;-23.52%;-27.80%;2.17%;0.95%;-5.96%;0.4%;-32.1%
1/02/2020;3.88%;-4.37%;-6.14%;-7.18%;-8.70%;-4.94%;-5.73%;-6.66%;0.7%;-4.7%
1/01/2020;5.90%;-5.09%;1.34%;5.72%;-4.30%;7.57%;3.85%;3.64%;0.7%;-2.3%
1/12/2019;-7.27%;-2.74%;-7.16%;-3.43%;0.65%;-5.56%;-4.46%;-4.99%;-0.2%;3.1%
1/11/2019;3.46%;3.59%;4.99%;1.92%;-1.14%;6.96%;7.27%;6.89%;0.3%;-1.3%
1/10/2019;-0.42%;1.51%;2.96%;3.25%;4.27%;0.24%;1.78%;0.70%;0.6%;3.4%
1/09/2019;-1.88%;0.37%;4.07%;1.84%;2.09%;-2.53%;0.43%;0.72%;0.4%;1.2%
1/08/2019;6.67%;-0.58%;3.37%;4.74%;-3.45%;4.42%;2.47%;1.36%;0.5%;-0.2%
1/07/2019;3.02%;1.92%;2.65%;-1.92%;0.94%;4.85%;4.57%;4.37%;0.6%;0.8%
1/06/2019;-4.19%;-1.16%;-1.58%;-3.99%;-0.94%;0.51%;1.19%;1.46%;0.5%;4.1%
1/05/2019;5.06%;-2.74%;-1.58%;-3.85%;-0.11%;1.19%;-3.18%;-2.84%;0.4%;-5.7%
1/04/2019;1.42%;3.05%;3.13%;7.56%;2.79%;4.09%;5.86%;5.50%;0.5%;-0.9%
1/03/2019;5.70%;3.47%;4.51%;3.92%;1.50%;5.52%;5.21%;4.85%;0.4%;5.1%
1/02/2019;-3.32%;-0.16%;-2.81%;-6.21%;-6.93%;0.38%;0.24%;1.22%;0.4%;4.1%
1/01/2019;-1.72%;4.24%;4.22%;6.25%;11.23%;3.63%;5.08%;7.34%;0.4%;8.7%
1/12/2018;1.80%;-5.10%;-8.50%;2.36%;-3.85%;-7.92%;-9.52%;-10.56%;0.4%;-3.9%
1/11/2018;1.27%;-9.37%;1.90%;-3.25%;-1.41%;2.40%;2.83%;3.31%;0.3%;-0.9%
1/10/2018;6.26%;1.36%;-2.23%;-12.53%;11.85%;-3.23%;-0.01%;-1.58%;0.5%;-7.9%
1/09/2018;-2.30%;1.88%;1.93%;0.29%;2.47%;-0.77%;-1.32%;-2.35%;0.5%;-2.4%
1/08/2018;5.65%;6.07%;4.79%;2.12%;-3.37%;11.02%;8.46%;7.78%;0.4%;1.1%
1/07/2018;-2.81%;-5.02%;-1.50%;7.21%;8.10%;-0.82%;1.07%;-0.06%;0.3%;-3.2%
1/06/2018;2.19%;0.36%;-0.79%;7.68%;-3.59%;1.94%;2.44%;2.91%;0.4%;1.9%
1/05/2018;3.07%;5.28%;1.15%;-11.76%;-12.96%;6.03%;5.04%;4.44%;0.5%;-1.2%
1/04/2018;-0.85%;3.68%;0.26%;0.48%;-2.05%;0.82%;0.84%;0.13%;0.5%;7.3%
