"Ticker
";"Nombre
";Activo (acciones);Activo (alterno);Activo (Renta fija);Activo (Asignación mixta);Activo (Capital privado);Activo (Especialidad);Activo (Inmuebles);Activo (Materias primas);Activo (Mercado monetario);Activo (Sin clasificacion de sus activos);Industria (Comunicaciones);Industria (Consumo básico);Industria (Consumo discrecional);Industria (Energía);Industria (Financiero);Industria (Industriales);Industria (Inmuebles);Industria (Materiales);Industria (Sanidad);Industria (Capital y ETF);Industria (Servicios públicos);Industria (Tecnología);Industria (Temático);Si es ESG;Esta apalancado;31/1/2019;28/2/2019;29/3/2019;30/4/2019;31/5/2019;28/6/2019;31/7/2019;30/8/2019;30/9/2019;31/10/2019;29/11/2019;31/12/2019;31/1/2020;28/2/2020;31/3/2020;30/4/2020;29/5/2020;30/6/2020;31/7/2020;31/8/2020;30/9/2020;30/10/2020;30/11/2020;31/12/2020;29/1/2021;26/2/2021;31/3/2021;30/4/2021;31/5/2021;30/6/2021;30/7/2021;31/8/2021;30/9/2021;29/10/2021;30/11/2021;31/12/2021;31/1/2022;28/2/2022;31/3/2022;29/4/2022;31/5/2022;30/6/2022;29/7/2022;31/8/2022;30/9/2022;31/10/2022;30/11/2022;30/12/2022;31/1/2023;28/2/2023;31/3/2023;28/4/2023;31/5/2023;30/6/2023;31/7/2023;31/8/2023;29/9/2023;31/10/2023;30/11/2023;29/12/2023
XTL US Equity;SPDR S&P TELECOM ETF;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.084539521;0.052230923;-0.023331066;0.032536748;-0.117141575;0.034985978;0.048068514;-0.06375205;0.002013548;0.006762601;0.01952785;0.010864728;-0.021636904;-0.042911866;-0.106591233;0.121718057;0.040017977;0.002354729;0.081424551;-0.016505529;-0.097376378;0.006927388;0.146007078;0.073754226;0.083903811;0.003390974;0.015067021;0.017489445;0.044012063;0.024375501;-0.023247445;0.013625862;-0.060322388;0.004792376;-0.003687141;0.06280112;-0.107246662;-0.016758738;0.031479715;-0.124281049;0.024935631;-0.07758009;0.113193199;-0.01008274;-0.119871023;0.132077059;-0.007367177;-0.072853267;0.057693882;-0.065819974;-0.009136091;-0.080135409;-0.032517026;0.057801368;-0.058381075;0.052469483;-0.097133486;-0.076042006;0.058873451;0.123851684
XLC US Equity;COMM SERV SELECT SECTOR SPDR;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.111085376;-0.004562746;0.01834122;0.068180055;-0.061361362;0.044239381;0.031202531;-0.02492403;-0.000201918;0.021970127;0.037608619;0.020153239;0.005207376;-0.060207347;-0.137479286;0.127978027;0.071746965;0.000370165;0.072957369;0.084571336;-0.062958992;-0.003372684;0.099600717;0.031308999;-0.008931289;0.067776023;0.024157431;0.062516224;0.009436438;0.02729263;0.017506721;0.038333464;-0.06651821;0.002368931;-0.063360303;0.030188506;-0.049208635;-0.077285637;0.004809453;-0.152359129;0.018786195;-0.103368483;0.037965514;-0.035940663;-0.127089725;0.006659754;0.066209495;-0.070783308;0.137794018;-0.02910502;0.080243981;0.03275087;0.038321375;0.044619402;0.055441103;-0.015529172;-0.032410939;-0.013048002;0.075133845;0.040586909
WIREX US Equity;WIRELESS FUND;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.092820208;0.046897683;0.037185434;0.06649967;-0.10456655;0.062386737;0.010712917;-0.032489322;-0.024861975;0.049946902;0.053849891;-0.144546453;0.032906482;-0.046561678;-0.085096704;0.105959139;0.053311006;0.057063847;0.077318248;0.093007748;-0.052900294;-0.026803488;0.097843346;-0.069611286;0.005693966;0.030750152;-0.018056046;0.048556547;-0.022275643;0.064111809;0.012722818;0.024970086;-0.076862402;0.061955294;0.040471495;-0.123281901;-0.101515662;-0.039130424;0.022438079;-0.152621628;0.009756175;-0.114918651;0.111381954;-0.070639171;-0.134074723;0.036290001;0.093020539;-0.151289448;0.102356007;-0.007045827;0.093471944;-0.004610428;0.105175656;0.05345402;0.049991185;-0.019697607;-0.06806424;-0.018182319;0.112673163;0.051554065
WCPIX US Equity;COMMUN SERV ULTRSC PRFND-INV;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00378303;0.044244423;0.039225212;-0.027711449;-0.037824833;0.06609849;0.042906152;-0.041221421;-0.001797148;0.028592373;0.053911954;0.003307155;0.004118622;-0.094098419;-0.228151555;0.187249592;0.104219091;-0.000954148;0.104447923;0.125798051;-0.096330162;-0.01035119;0.146407457;0.048905831;-0.016089889;0.099490003;0.034031595;0.091532054;0.011508323;0.042028589;0.024139911;0.055126969;-0.098668687;0.000483617;-0.097427735;0.037335578;-0.077158737;-0.122108099;0.006247092;-0.234278805;0.02199388;-0.158072758;0.051203099;-0.058558153;-0.194456214;0.003030305;0.093295173;-0.109237841;0.202587146;-0.049475096;0.118901515;0.043641395;0.052026821;0.065439093;0.078068015;-0.027962558;-0.048837571;-0.025854025;0.108003995;0.060492205
VTCAX US Equity;VANGUARD COMM SERV INDX-ADM;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.099919589;0.003825011;0.015155393;0.058867359;-0.057223587;0.035042774;0.03385624;-0.026632733;-0.006317711;0.029220324;0.031164608;0.020667121;0.00541217;-0.057903602;-0.155838568;0.132695568;0.068091971;-0.002526849;0.070214979;0.078953581;-0.058719427;0.007101076;0.115975236;0.042020186;-0.002288705;0.069232886;0.01063355;0.065501339;-0.001274517;0.0380919;0.005305774;0.035718083;-0.061975691;0.005971825;-0.066109033;0.021078064;-0.061992518;-0.06001801;0.000163626;-0.160826491;0.011463633;-0.094152036;0.036076878;-0.034825314;-0.133382501;0.024239332;0.051432787;-0.076625408;0.139741209;-0.040623314;0.061957456;0.022477366;0.025665039;0.046669468;0.057394269;-0.028644108;-0.039514927;-0.015988303;0.078553895;0.050249805
VRTELEV US Equity;RYDEX VT TELECOMMUNICATIONS;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.062221455;0.047298615;-0.004345653;0.020557753;-0.072115563;0.0517253;0.028561578;-0.052630537;0.025742319;0.010643706;-0.009808075;0.016238965;-0.017409044;-0.029361464;-0.089865162;0.083818672;0.044233255;-0.013687411;0.036307618;-0.004711243;-0.063876525;-0.02353463;0.13028283;0.029210378;0.00874949;-0.003309767;0.044215867;0.028287011;0.023409892;0.009944909;-0.004347242;0.014596826;-0.059853418;-0.020289925;-0.027560509;0.064799993;-0.068692796;-0.022759289;0.008405337;-0.117421664;0.043208329;-0.071501459;0.025894226;-0.032784104;-0.141234396;0.109354164;0.027794606;-0.065464546;0.08100707;-0.046820496;0.016935668;-0.029502827;-0.042357486;0.044957784;-0.013445581;0.024697198;-0.056015396;-0.03634609;0.061251592;0.048564883
VOX US Equity;VANGUARD COMMUNICATION SERVI;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.100366291;0.003656757;0.016052484;0.058819974;-0.058221494;0.036653933;0.033686202;-0.028164504;-0.005406351;0.029547604;0.031416196;0.01913214;0.006155825;-0.057936723;-0.157669965;0.134531811;0.066902334;-0.001611085;0.071247664;0.077776339;-0.058248534;0.00753023;0.115962726;0.041966576;-0.001915311;0.06837586;0.011993799;0.064701957;-0.000865551;0.037114741;0.005961889;0.035377285;-0.062774339;0.007149208;-0.066034915;0.021172701;-0.062867841;-0.060222111;0.001583928;-0.161955597;0.011975025;-0.09431387;0.036443605;-0.035274449;-0.133561743;0.025175149;0.050102815;-0.076735867;0.139894086;-0.041549003;0.063194643;0.022907229;0.025749926;0.046399083;0.057659966;-0.028917026;-0.039334055;-0.016003408;0.077751415;0.050829204
VFTELVV US Equity;FIDELITY VIP TELE-IVS;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.10906792;-0.053498069;0.031044622;0.063446222;-0.05995886;0.040090657;0.03127827;-0.013050756;-0.010730602;0.025400792;0.039656267;0.001554002;0;-0.064952686;-0.132703235;0.136011758;0.087699277;0.011282557;0.074214815;0.074901308;-0.068670758;0.002068253;0.12419038;0.046934661;-0.001742667;0.043794317;0.031766088;0.069747304;0.010005086;0.027493141;0.013468217;0.032897704;-0.059527212;0.000490557;-0.068502555;0.002098637;-0.071691928;-0.115673775;0.003785493;-0.152053803;-0.003672424;-0.094868776;0.052021185;-0.020955365;-0.129617493;0.010657294;0.068285908;-0.074488852;0.145350164;-0.029643356;0.076931716;0.028191242;0.039823635;0.055292138;0.067046715;-0.022679489;-0.031488748;-0.01612418;0.087715507;0.052216037
RYMAX US Equity;RYDEX SERIES TELECOM FD-H;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.062572835;0.0469847;-0.004889985;0.020073465;-0.0717421;0.051445793;0.028344202;-0.052479805;0.025471906;0.010406382;-0.00840527;-0.024737038;-0.017919156;-0.029164814;-0.088270577;0.083725658;0.044774853;-0.014083114;0.045896288;-0.004228336;-0.064241212;-0.023094604;0.129904722;0.005541361;0.009518845;-0.003374107;0.044819065;0.0284738;0.023475712;0.009921852;0.003033178;0.014469857;-0.05997185;-0.020412956;-0.027466371;0.059890892;-0.068867051;-0.022906622;0.008332491;-0.116772908;0.042599467;-0.071221358;0.032440511;-0.033671584;-0.14133993;0.109297138;0.028340455;-0.081899029;0.081404347;-0.046331536;0.016703459;-0.030270064;-0.04238832;0.044749596;-0.005254873;0.025232188;-0.056810942;-0.034576809;0.060078124;0.030024446
RSPC US Equity;INVESCO S&P 500 EQUAL WEIG C;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.104308006;-0.008964505;-0.005408319;0.061952202;-0.053146825;0.057451471;0.00641853;-0.034868826;0.003634516;0.001252715;0.033538345;0.018015734;-0.016143325;-0.079084923;-0.166374112;0.121047229;0.076227969;0.002674715;0.053932172;0.075927267;-0.042659601;-0.049404417;0.161817902;0.0487938;0.022608381;0.097942284;0.041562527;0.032120747;0.017503557;0.005513536;-0.017002665;0.015907991;-0.032099445;-0.016425851;-0.080099973;0.03779794;-0.021766011;-0.01323466;-0.002530801;-0.139237468;0.020029668;-0.118075086;0.047813403;-0.040522632;-0.126298562;0.071395502;0.036551356;-0.069630015;0.132727089;-0.064869456;0.019551674;-0.004752339;-0.020281232;0.061986384;0.01312512;-0.017457531;-0.061884717;-0.025066332;0.077495703;0.043832148
