Date;AGG;DBC;EWJ;EWW;ILF;MTUM;SPY;VO; RENTA FIJA PLUS ; COLCAP 
1/03/2023; 98.93 ; 23.50 ; 57.49 ; 58.34 ; 23.25 ; 136.54 ; 395.60 ; 203.15 ; 3.21 ; 0.24 
1/02/2023; 97.31 ; 23.76 ; 55.94 ; 57.64 ; 23.77 ; 139.27 ; 396.26 ; 214.08 ; 3.05 ; 0.25 
1/01/2023; 100.22 ; 24.87 ; 58.67 ; 57.65 ; 25.48 ; 145.13 ; 406.48 ; 220.02 ; 3.12 ; 0.28 
1/12/2022; 96.99 ; 24.65 ; 54.44 ; 49.45 ; 22.89 ; 145.93 ; 382.43 ; 203.81 ; 2.93 ; 0.27 
1/11/2022; 98.29 ; 25.49 ; 55.80 ; 53.90 ; 26.15 ; 152.76 ; 407.68 ; 216.53 ; 2.93 ; 0.26 
1/10/2022; 94.90 ; 25.12 ; 49.99 ; 50.57 ; 25.90 ; 147.64 ; 386.21 ; 203.99 ; 2.92 ; 0.25 
1/09/2022; 96.34 ; 23.91 ; 48.85 ; 44.23 ; 23.72 ; 131.18 ; 357.18 ; 187.98 ; 3.08 ; 0.25 
1/08/2022; 100.71 ; 25.72 ; 53.59 ; 44.25 ; 24.31 ; 140.56 ; 395.18 ; 209.45 ; 3.15 ; 0.28 
1/07/2022; 104.07 ; 26.11 ; 56.15 ; 46.80 ; 23.57 ; 143.42 ; 411.99 ; 215.79 ; 3.19 ; 0.30 
1/06/2022; 101.68 ; 26.64 ; 52.83 ; 46.59 ; 22.54 ; 136.37 ; 377.25 ; 196.97 ; 3.41 ; 0.32 
1/05/2022; 103.47 ; 28.80 ; 57.60 ; 52.07 ; 28.43 ; 146.05 ; 412.93 ; 217.97 ; 3.59 ; 0.41 
1/04/2022; 102.87 ; 27.53 ; 56.62 ; 49.43 ; 26.10 ; 146.93 ; 412.00 ; 218.76 ; 3.55 ; 0.39 
1/03/2022; 107.10 ; 26.06 ; 61.61 ; 54.97 ; 30.39 ; 168.27 ; 451.64 ; 237.84 ; 3.77 ; 0.43 
1/02/2022; 110.36 ; 23.87 ; 62.94 ; 50.34 ; 26.90 ; 160.97 ; 436.63 ; 232.41 ; 3.69 ; 0.40 
1/01/2022; 111.80 ; 22.42 ; 64.08 ; 48.55 ; 25.47 ; 165.40 ; 449.91 ; 234.69 ; 3.62 ; 0.39 
