Fecha;Fonval  Credicorp;Fiducuenta ;Renta Liqu. Bancol ;Fidurenta Bancol;Renta Fija a Plazo Bancol ;Capital RF Col Credicorp ;Dividend Yield;Tasa libre de riesgo;CTCP Index
30/11/2015;3538.771973;24385.08008;11825.12988;25923.33984;20900.93945;10159.82031;0.00%;;189.460007
31/12/2015;3552.418945;24490.30078;11874.58984;26043.32031;20993.03906;10159.82031;0.00%;0.447%;188.919998
31/01/2016;3566.756104;24595;11923.08008;26145.36914;21077.23047;10164.69043;0.00%;0.463%;188.789993
29/02/2016;3582.071045;24699.15039;11978.15039;26251;21158.41992;10161.71973;0.00%;0.499%;189.139999
31/03/2016;3602.498047;24839.82031;12048.01953;26452.55078;21305.10938;10311.2002;0.00%;0.522%;193.279999
30/04/2016;3622.930908;24977.86914;12114.29004;26648.67969;21464.34961;10380.25;0.00%;0.502%;194.059998
31/05/2016;3642.764893;25124.9707;12186.30957;26790.2207;21597.67969;10451.84961;0.00%;0.592%;195.350006
30/06/2016;3663.044922;25271.46094;12255.71973;27009.58008;21768.16992;10562.33984;0.00%;0.582%;199.759995
31/07/2016;3685.11499;25431.96094;12328.82031;27218.41992;21943.55078;10659.7002;0.00%;0.574%;198.979996
31/08/2016;3706.829102;25583.82031;12409.75977;27393.7793;22075.44922;10688.95996;0.00%;0.676%;200.839996
30/09/2016;3731.943115;25765.13086;12497.55957;27682.85938;22349.83984;10903.37988;0.00%;0.616%;204.610001
31/10/2016;3754.352051;25923.40039;12574.58008;27863.34961;22503.28906;11126.23047;0.00%;0.636%;205.139999
30/11/2016;3774.066895;26065.7207;12643.46973;27975.53906;22548.00977;11177.38965;0.00%;0.615%;206.229996
31/12/2016;3796.822998;26236.65039;12724.15039;28208.44922;22760.14063;11293.29004;0.00%;0.588%;208.110001
31/01/2017;3822.147949;26401.91992;12808.30957;28459.33008;23029.24023;11514.79981;0.00%;0.656%;209.449997
28/02/2017;3843.113037;26554.78906;12882.59961;28630.2793;23139.93945;11529.24023;0.00%;0.556%;210.820007
31/03/2017;3869;26730.61914;12967.88965;28885.88086;23374.2207;11655.08984;0.00%;0.593%;213.509995
30/04/2017;3890.164063;26878.42969;13042.26953;29068.21094;23592.24023;11789.78027;0.00%;0.520%;215.770004
31/05/2017;3912.435059;27030.57031;13114.30957;29302.75;23775.40039;11894.80957;0.00%;0.576%;217.559998
30/06/2017;3930.160889;27155.16992;13175.91992;29450.48047;23900.05078;11969.91992;0.00%;0.500%;218.919998
31/07/2017;3946.046387;27263.05078;13225.37988;29530.45703;23928.42969;11931.8125;0.00%;0.479%;217.899994
31/08/2017;3960.361572;27366.26953;13275.84473;29658.61328;24033.33008;11955.36816;0.00%;0.458%;219.580002
30/09/2017;3976.539063;27477.30078;13330.12988;29808.52539;24190.91992;11974.59766;0.00%;0.409%;221.190002
31/10/2017;3992.11499;27586.82031;13384.49023;29962.85938;24339.13086;12053.34277;0.00%;0.451%;222.720001
30/11/2017;4006.991211;27690.39063;13434.87988;30106.28711;24465.08008;12158.08594;0.00%;0.402%;225.710007
