Fecha;Risk_Free;;;
23/08/2024;9.8442;;;
22/08/2024;9.8463;;;
21/08/2024;9.8996;;;
20/08/2024;9.8757;;;
19/08/2024;9.9236;;;
16/08/2024;9.9228;;;
15/08/2024;9.8713;;;
14/08/2024;9.8426;;;
13/08/2024;10.005;;;
12/08/2024;10.1304;;;
9/08/2024;10.1447;;;
8/08/2024;10.3214;;;
7/08/2024;10.2952;;;
6/08/2024;10.2952;;;
5/08/2024;10.1852;;;
2/08/2024;10.1086;;;
1/08/2024;10.3087;;;
31/07/2024;10.4326;;;
30/07/2024;10.5658;;;
29/07/2024;10.6262;;;
26/07/2024;10.5011;;;
25/07/2024;10.5028;;;
24/07/2024;10.483;;;
23/07/2024;10.4509;;;
22/07/2024;10.4742;;;
19/07/2024;10.5102;;;
18/07/2024;10.3746;;;
17/07/2024;10.343;;;
16/07/2024;10.3743;;;
15/07/2024;10.3813;;;
12/07/2024;10.453;;;
11/07/2024;10.4765;;;
10/07/2024;10.5557;;;
9/07/2024;10.507;;;
8/07/2024;10.4625;;;
5/07/2024;10.4678;;;
4/07/2024;10.4741;;;
3/07/2024;10.4378;;;
2/07/2024;10.4405;;;
1/07/2024;10.4676;;;
28/06/2024;10.468;;;
27/06/2024;10.397;;;
26/06/2024;10.4913;;;
25/06/2024;10.472;;;
24/06/2024;10.4448;;;
21/06/2024;10.5073;;;
20/06/2024;10.5462;;;
19/06/2024;10.5338;;;
18/06/2024;10.5281;;;
17/06/2024;10.5923;;;
14/06/2024;10.6088;;;
13/06/2024;10.4157;;;
12/06/2024;10.4248;;;
11/06/2024;10.3823;;;
10/06/2024;10.3806;;;
7/06/2024;10.3816;;;
6/06/2024;10.4466;;;
5/06/2024;10.4974;;;
4/06/2024;10.4941;;;
3/06/2024;10.6299;;;
31/05/2024;10.6307;;;
30/05/2024;10.657;;;
29/05/2024;10.6435;;;
28/05/2024;10.6373;;;
27/05/2024;10.6343;;;
24/05/2024;10.6387;;;
23/05/2024;10.444;;;
22/05/2024;10.4213;;;
21/05/2024;10.4099;;;
20/05/2024;10.3365;;;
17/05/2024;10.2261;;;
16/05/2024;10.1965;;;
15/05/2024;10.2814;;;
14/05/2024;10.4907;;;
13/05/2024;10.5028;;;
10/05/2024;10.5051;;;
9/05/2024;10.3806;;;
8/05/2024;10.1957;;;
7/05/2024;10.1774;;;
6/05/2024;10.3018;;;
3/05/2024;10.2213;;;
2/05/2024;10.2491;;;
1/05/2024;10.1942;;;
30/04/2024;10.1956;;;
29/04/2024;10.2016;;;
26/04/2024;10.5185;;;
25/04/2024;10.5654;;;
24/04/2024;10.3223;;;
23/04/2024;10.2626;;;
22/04/2024;10.3321;;;
19/04/2024;10.3916;;;
18/04/2024;10.5659;;;
17/04/2024;10.6854;;;
16/04/2024;10.9606;;;
15/04/2024;10.6844;;;
12/04/2024;10.5628;;;
11/04/2024;10.633;;;
10/04/2024;10.5902;;;
9/04/2024;10.3079;;;
8/04/2024;10.3519;;;
5/04/2024;10.0767;;;
4/04/2024;10.0292;;;
3/04/2024;10.144;;;
2/04/2024;10.1035;;;
1/04/2024;10.0436;;;
29/03/2024;9.7858;;;
28/03/2024;9.7851;;;
27/03/2024;9.7867;;;
26/03/2024;9.7787;;;
25/03/2024;9.7662;;;
22/03/2024;9.7659;;;
21/03/2024;9.7483;;;
20/03/2024;9.7654;;;
19/03/2024;9.7527;;;
18/03/2024;9.8395;;;
15/03/2024;9.8112;;;
14/03/2024;9.8095;;;
13/03/2024;9.7532;;;
12/03/2024;9.7258;;;
11/03/2024;9.6979;;;
8/03/2024;9.6581;;;
7/03/2024;9.6351;;;
6/03/2024;9.6861;;;
5/03/2024;9.7086;;;
4/03/2024;9.7133;;;
1/03/2024;9.6604;;;
29/02/2024;9.671;;;
28/02/2024;9.7398;;;
27/02/2024;9.7778;;;
26/02/2024;9.686;;;
23/02/2024;9.625;;;
22/02/2024;9.6596;;;
21/02/2024;9.5808;;;
20/02/2024;9.5178;;;
19/02/2024;9.5284;;;
16/02/2024;9.5009;;;
15/02/2024;9.4455;;;
14/02/2024;9.5015;;;
13/02/2024;9.5747;;;
12/02/2024;9.4548;;;
9/02/2024;9.5035;;;
8/02/2024;9.5148;;;
7/02/2024;9.5204;;;
6/02/2024;9.511;;;
5/02/2024;9.7501;;;
2/02/2024;9.6024;;;
1/02/2024;9.2774;;;
31/01/2024;9.2415;;;
30/01/2024;9.3486;;;
29/01/2024;9.372;;;
26/01/2024;9.3819;;;
25/01/2024;9.3597;;;
24/01/2024;9.3514;;;
23/01/2024;9.4339;;;
22/01/2024;9.3793;;;
19/01/2024;9.4736;;;
18/01/2024;9.4121;;;
17/01/2024;9.3431;;;
16/01/2024;9.3161;;;
15/01/2024;9.194;;;
12/01/2024;9.3021;;;
11/01/2024;9.3596;;;
10/01/2024;9.4729;;;
9/01/2024;9.6553;;;
8/01/2024;9.7451;;;
5/01/2024;9.7444;;;
4/01/2024;9.7651;;;
3/01/2024;9.7316;;;
2/01/2024;9.6757;;;
1/01/2024;9.584;;;
29/12/2023;9.5831;;;
28/12/2023;9.5835;;;
27/12/2023;9.5505;;;
26/12/2023;9.6212;;;
25/12/2023;9.6384;;;
22/12/2023;9.6379;;;
21/12/2023;9.687;;;
20/12/2023;9.7093;;;
19/12/2023;9.7389;;;
18/12/2023;9.9082;;;
15/12/2023;9.9641;;;
14/12/2023;10.0047;;;
13/12/2023;10.3291;;;
12/12/2023;10.4905;;;
11/12/2023;10.4456;;;
8/12/2023;10.3192;;;
7/12/2023;10.3196;;;
6/12/2023;10.3094;;;
5/12/2023;10.3225;;;
4/12/2023;10.3454;;;
1/12/2023;10.2935;;;
30/11/2023;10.3858;;;
29/11/2023;10.2556;;;
28/11/2023;10.3007;;;
27/11/2023;10.3614;;;
24/11/2023;10.4296;;;
23/11/2023;10.3292;;;
22/11/2023;10.2838;;;
21/11/2023;10.2305;;;
20/11/2023;10.2783;;;
17/11/2023;10.332;;;
16/11/2023;10.2346;;;
15/11/2023;10.2142;;;
14/11/2023;10.3089;;;
13/11/2023;10.6221;;;
10/11/2023;10.6218;;;
9/11/2023;10.5044;;;
8/11/2023;10.4184;;;
7/11/2023;10.5509;;;
6/11/2023;10.6133;;;
3/11/2023;10.613;;;
2/11/2023;10.7117;;;
