;Fechas;Puntos Bid;Puntos Ask;Forwards Bid;Forward Ask;SOFR OIS;IBR OIS
ON;16/08/2023;;;;;;
TN;17/08/2023;;;;;;
SP;17/08/2023;4086.5;4088.75;4086.5;4088.75;;
SN;18/08/2023;1.29;1.6;4087.79;4090.35;;
1W;24/08/2023;9.04;11.2;4095.54;4099.95;;
2W;31/08/2023;18.9;20.9;4104.15;4109.65;;
3W;7/09/2023;28.37;29.79;4114.87;4118.54;;
1M;18/09/2023;43.25;43.77;4125.79;4132.65; 0.05311 ; 0.12325 
2M;17/10/2023;75.49;82.91;4161.99;4171.66;;
3M;17/11/2023;115.24;121.61;4216.94;4226.55; 0.05370 ; 0.12375 
4M;18/12/2023;147.37;157.87;4233.87;4246.62;;
5M;17/01/2024;189.24;197.11;4268.94;4277.23;;
6M;20/02/2024;213.23;221.77;4299.73;4313.49; 0.05430 ; 0.12130 
9M;20/05/2024;286.74;296.26;4373.24;4385.01;;
1Y;20/08/2024;348.6;368.6;4435.1;4457.35;;
